"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","test_contact_cta_navigates_to_contact","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","233","test_philosophy_popup_contains_outcome","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","234","test_case_study_navigation_reaches_projects","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","296","test_cv_builder_popup_contains_project_link","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","211","test_profile_photo_is_visible","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","263","test_toolset_popup_contains_automation_section","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","203","test_homepage_is_visible","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","234","test_contact_links_are_available","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","278","test_certificate_popup_contains_certificate_title","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","268","test_experience_popup_contains_current_role","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","262","test_car_watcher_popup_contains_project_title","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
