"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","test_contact_links_are_available","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","80","test_profile_photo_is_visible","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","37","test_homepage_is_visible","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","229","test_experience_popup_contains_current_role","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","219","test_toolset_popup_contains_automation_section","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","229","test_car_watcher_popup_contains_project_title","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","226","test_certificate_popup_contains_certificate_title","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","186","test_case_study_navigation_reaches_projects","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","208","test_contact_cta_navigates_to_contact","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","236","test_cv_builder_popup_contains_project_link","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
"","230","test_philosophy_popup_contains_outcome","tests.e2e","2026-09-13","passed","2026-09-13","","test_portfolio","",""
